flow_id,target_bw_mbps,scheduled_flow_start_s,interval_index,absolute_time_s,interval_start_s,interval_end_s,bytes_transferred,bits_per_second,mbps_achieved,retransmits,snd_cwnd_bytes,pmtu,rtt_us,rttvar_us,omitted,cpu_utilization_local_pct,cpu_utilization_remote_pct,congestion_algorithm,max_snd_cwnd_bytes
2,1.04,16.49,7,23.99,7.0,8.0,0,0,0.0,2,8688,1500,127718,13616,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,8,24.07,8.0,9.0,131072,1048559,1.0486,1,5792,1500,128281,13125,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,20,24.08,20.0,21.0,0,0,0.0,4,2896,1500,123744,5913,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,8,24.99,8.0,9.0,0,0,0.0,5,4344,1500,133062,23058,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,9,25.07,9.0,10.0,0,0,0.0,1,8688,1500,132276,19864,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,21,25.08,21.0,22.0,131072,1048627,1.0486,1,4344,1500,127353,11888,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,9,25.99,9.0,10.0,131072,1048533,1.0485,1,4344,1500,125921,6694,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,10,26.07,10.0,11.0,131072,1048593,1.0486,3,4344,1500,121841,2982,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,22,26.08,22.0,23.0,0,0,0.0,3,7240,1500,121423,1573,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,10,26.99,10.0,11.0,0,0,0.0,2,5792,1500,122612,2057,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,11,27.07,11.0,12.0,0,0,0.0,2,8688,1500,130127,16924,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,23,27.08,23.0,24.0,131072,1048582,1.0486,3,2896,1500,129507,16009,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,11,27.99,11.0,12.0,0,0,0.0,3,8688,1500,128574,14364,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,12,28.07,12.0,13.0,0,0,0.0,6,2896,1500,122246,2870,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,24,28.08,24.0,25.0,0,0,0.0,0,14480,1500,125784,8539,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,12,28.99,12.0,13.0,131072,1048524,1.0485,2,5792,1500,128329,13514,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,13,29.07,13.0,14.0,0,0,0.0,1,5792,1500,128664,13112,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,25,29.08,25.0,26.0,0,0,0.0,2,8688,1500,131803,18954,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,13,29.99,13.0,14.0,0,0,0.0,3,4344,1500,129361,15465,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,14,30.07,14.0,15.0,131072,1048612,1.0486,1,7240,1500,142081,32112,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,26,30.08,26.0,27.0,131072,1048504,1.0485,1,11584,1500,124422,8010,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,14,30.99,14.0,15.0,0,0,0.0,3,2896,1500,129442,15784,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,15,31.07,15.0,16.0,131072,1048577,1.0486,1,7240,1500,129086,14076,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,27,31.08,27.0,28.0,0,0,0.0,5,2896,1500,130190,18294,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,15,31.99,15.0,16.0,0,0,0.0,4,4344,1500,131375,18281,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,16,32.07,16.0,17.0,0,0,0.0,2,7240,1500,123678,4499,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,28,32.08,28.0,29.0,0,0,0.0,2,5792,1500,127731,12774,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,16,32.99,16.0,17.0,0,0,0.0,0,14480,1500,122626,4658,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,17,33.07,17.0,18.0,131072,1048487,1.0485,1,8688,1500,144645,27757,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,29,33.08,29.0,30.0,0,0,0.0,2,1448,1500,126788,11465,False,1.2438982381658117,0.0596033946610822,reno,14480.0
