time_bin,iperf_retransmits_sum,iperf_rtt_us_mean,iperf_rtt_us_max,iperf_rttvar_us_mean,iperf_cwnd_bytes_mean,iperf_mbps_sum,iperf_achieved_ratio_mean,iperf_achieved_ratio_min,iperf_active_flows,iperf_bytes_sum,iperf_target_bw_sum,ping_rtt_ms_mean,ping_rtt_ms_max,ping_rtt_ms_std,ping_count,qdisc_backlog_pkt_max,qdisc_backlog_bytes_max,qdisc_drop_ratio_max,qdisc_dropped_delta_sum,qdisc_overlimit_delta_sum,qdisc_overlimit_rate_sum,qdisc_throughput_mbps_sum,qdisc_util_pct_max,qdisc_sent_pkt_delta_sum,host_rtt_ms_mean,host_minrtt_ms_min,host_cwnd_segs_mean,host_cwnd_segs_min,host_retrans_delta_sum,host_lost_delta_sum,host_delivery_mbps,host_socket_count,rtt_relative_iperf,rtt_relative_ping,retransmit_rate,queue_fill_ratio,host_delivery_ratio,iperf_achieved_ratio_capped,hf_A_retx_iperf,hf_A_retx_host,hf_A_lost_host,hf_A_loss,hf_B_rtt_iperf,hf_B_rtt_ping,hf_B_rttvar,hf_B_latency,hf_C_bw_iperf,hf_C_delivery_ss,hf_C_throughput,is_observable,congestion_state,congestion_binary,congestion_label
12,0.0,120183.2,120183.2,1929.0,316500.0,12.5835,0.9846244131455401,0.9846244131455401,1.0,1572939.0,12.78,120.01666666666667,121.77,2.1555819013281146,3,0,381,0.0,0,0,0.0,25.7925,53.95,2110,120.116,119.757,211.0,210.0,0.0,0.0,12.9024,1.0,1.0038124312235988,1.0024214861479717,0.0,0.0,0.516096,0.9846244131455401,0,0,0,0,0,0,0,0,0,1,1,1,0,0,normal
13,0.0,120270.0,120270.0,843.9,345000.0,13.1531,1.0291940532081378,1.0291940532081378,1.0,1644132.0,12.78,120.73333333333333,121.6,1.4323872846871106,3,0,227,0.0,0,0,0.0,25.5751,53.15,2154,120.528,119.737,230.0,227.0,0.0,0.0,12.2935,1.0,1.0045374154063316,1.008407338655174,0.0,0.0,0.49174,1.0291940532081378,0,0,0,0,0,0,0,0,0,1,1,1,0,0,normal
14,0.0,120997.1,120997.1,649.6,283500.0,12.5747,0.9839358372456964,0.9839358372456964,1.0,1571838.0,12.78,122.14333333333333,122.82,0.9400177303292414,3,0,903,0.0,0,0,0.0,25.291800000000002,51.75,2114,120.841,119.724,189.0,189.0,0.0,0.0,11.6005,1.0,1.0106104107895688,1.0201841554484135,0.0,0.0,0.46402,0.9839358372456964,0,0,0,0,0,0,0,0,0,1,1,1,0,0,normal
15,0.0,119951.7,119951.7,1423.8,280500.0,12.8213,1.0032316118935838,1.0032316118935838,1.0,1602662.0,12.78,120.32000000000001,121.06,0.7607890640644056,3,0,903,0.0,0,0,0.0,24.6214,49.66,2132,119.678,119.939,187.0,184.0,0.0,0.0,12.6185,1.0,1.0018788616579002,1.0049550330231132,0.0,0.0,0.50474,1.0032316118935838,0,0,0,0,0,0,0,0,0,1,1,1,0,0,normal
16,0.0,120378.8,120378.8,960.6,336000.0,12.6387,0.988943661971831,0.988943661971831,1.0,1579837.0,12.78,120.98333333333333,123.94,2.567222883454677,3,0,881,0.0,0,0,0.0,25.589399999999998,54.12,2118,120.201,119.984,224.0,222.0,0.0,0.0,12.7112,1.0,1.0054461513404482,1.0104954267390815,0.0,0.0,0.508448,0.988943661971831,0,0,0,0,0,0,0,0,0,1,1,1,0,0,normal
17,0.0,119768.35,119864.6,489.25,361500.0,18.6637,0.9982746812123927,0.9916354344122658,2.0,2332961.0,18.65,122.13,127.32,4.653396608929866,3,1,1550,0.0,0,0,0.0,36.3163,73.54,3114,119.862,119.824,241.0,239.0,0.0,0.0,18.8619,2.0,1.0003474578571623,1.020072790750605,0.0,0.03333333333333333,0.7544759999999999,1.000734584450402,0,0,0,0,0,0,0,0,0,1,1,1,0,0,normal
18,0.0,128365.93333333333,128485.6,7690.2,289500.0,25.040300000000002,0.8409867446301803,0.8328403755868545,3.0,3130043.0,29.86,130.84666666666666,134.15,3.070379998197842,3,15,23289,0.0,0,52,51.038,49.2117,99.45,4178,128.26,119.946,193.0,190.0,0.0,0.0,23.2588,3.0,1.0721575030921104,1.0928774619428545,0.0,0.5,0.9303520000000001,1.0016120000000002,0,0,0,0,0,1,1,1,0,0,1,1,1,1,onset
19,0.0,133325.2666666667,133573.4,33483.03333333333,318000.0,25.0349,0.840074690221002,0.8309901873327386,3.0,3129361.0,29.86,131.48,133.28,2.473135661462987,3,27,41361,0.0,0,62,65.549,53.0629,107.95,4182,133.177,119.706,212.0,212.0,0.0,0.0,24.8022,3.0,1.1135796024419495,1.098167285088754,0.0,0.9,0.992088,1.001396,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
20,0.0,131340.93333333332,131452.9,18812.033333333333,331500.0,24.9119,0.8285448661561747,0.8017035775127769,3.0,3113978.0,29.86,132.71,134.11,1.380434714139009,3,27,41691,0.0,0,66,67.57900000000001,51.9731,107.38,4228,131.425,119.912,221.0,220.0,0.0,0.0,23.8356,3.0,1.0970057512906124,1.1084406784615803,0.0,0.9,0.9534239999999999,0.9964759999999999,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
21,14.0,133882.76666666666,134077.8,24160.3,196500.0,13.1939,0.43971681065320006,0.4294037478705281,3.0,1649226.0,29.86,133.91333333333333,136.7,2.4666238735026704,3,29,44005,0.007326,16,52,50.848,25.4442,52.59,2168,133.657,120.225,131.0,131.0,14.0,7.0,12.8447,3.0,1.1182360388690635,1.1184913424387894,0.006457564575645757,0.9666666666666667,0.513788,0.527756,1,1,1,1,1,1,1,1,1,1,1,1,2,1,congested
22,0.0,131250.66666666666,131503.6,24927.2,394500.0,25.3921,0.8533673804273684,0.8360124888492417,3.0,3174005.0,29.86,130.55666666666667,132.3,2.255001847745005,3,26,39619,0.0,0,58,58.946,51.218,103.86,4198,131.342,120.213,263.0,262.0,0.0,0.0,23.8667,3.0,1.0962518122864493,1.0904552797655218,0.0,0.8666666666666667,0.9546680000000001,1.015684,0,0,0,0,1,0,1,1,0,0,1,1,1,1,onset
23,0.0,127225.45,127350.7,1099.3,280500.0,23.7418,0.9896550000767814,0.9896400625978091,2.0,2967731.0,23.990000000000002,129.29,130.38,1.0705606008068789,3,16,24813,0.0,0,2,2.0860000000000003,50.2183,102.28,4010,127.327,119.974,187.0,186.0,0.0,0.0,22.0015,2.0,1.0626317844591957,1.0798756334737225,0.0,0.5333333333333333,0.88006,0.9896540225093788,0,0,0,0,0,0,0,0,0,0,0,1,0,0,normal
24,0.0,126223.35,126488.7,21074.25,361500.0,24.3364,1.014472417316866,1.013967136150235,2.0,3042055.0,23.990000000000002,126.43,127.12,0.7571657678474369,3,13,19773,0.0,0,6,6.164,50.0638,103.72,4060,126.486,119.971,241.0,240.0,0.0,0.0,24.7886,2.0,1.05426189218366,1.0559879057938182,0.0,0.43333333333333335,0.991544,1.0144393497290538,0,0,0,0,0,0,1,0,0,0,1,1,0,0,normal
25,0.0,128861.86666666665,129041.0,3833.633333333333,300000.0,25.5223,0.6898556251528246,0.682876923076923,3.0,3190294.0,36.99,130.40333333333334,131.3,0.7918543637142749,3,18,27945,0.0,0,116,118.22,51.6344,105.39,4222,128.731,119.983,200.0,197.0,0.0,0.0,23.7497,3.0,1.0762997130270942,1.089174585740725,0.0,0.6,0.949988,1.0208920000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,normal
26,0.0,133982.36666666667,134212.2,15192.699999999999,345000.0,25.5942,0.6920060644983375,0.6898076923076922,3.0,3199278.0,36.99,134.18,135.05,0.812834546509934,3,28,43255,0.0,0,110,109.373,50.372,102.99,4220,134.077,119.805,230.0,227.0,0.0,0.0,23.7408,3.0,1.1190679331616926,1.1207186363949577,0.0,0.9333333333333333,0.949632,1.023768,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
27,3.0,132955.5,132981.5,33071.0,225000.0,18.8953,0.5112388284749657,0.5028794992175274,3.0,2361904.0,36.99,133.23333333333332,136.87,3.1501163999657864,3,30,46407,0.002559,8,112,117.832,39.3771,80.65,3118,132.971,120.164,150.0,148.0,3.0,2.0,17.8009,3.0,1.1104911809599776,1.1128117428505604,0.0009621552277100705,1.0,0.7120359999999999,0.7558119999999999,1,1,1,1,1,1,1,1,1,1,1,1,2,1,congested
28,0.0,137217.63333333333,137373.7,13913.966666666667,373500.0,24.7232,0.6687290403455473,0.6624923076923076,3.0,3090405.0,36.99,134.74333333333334,136.6,3.112496318605584,3,28,43346,0.0,0,120,113.957,47.2539,96.76,4146,137.058,119.988,249.0,246.0,0.0,0.0,25.214,3.0,1.1460900202614146,1.125423794877363,0.0,0.9333333333333333,1.00856,0.9889279999999999,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
29,0.0,132951.93333333332,133060.8,8771.199999999999,402000.0,25.105600000000003,0.6788968299899046,0.6705307692307693,3.0,3138200.0,36.99,133.15666666666667,135.07,1.831402013030815,3,24,37249,0.0,0,108,105.232,48.9478,102.45,4186,132.937,119.96,268.0,266.0,0.0,0.0,23.398,3.0,1.1104613909033139,1.112171395838162,0.0,0.8,0.93592,1.004224,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
30,0.0,132891.425,133063.4,6600.525,376500.0,25.2428,0.4856808754055322,0.4797230769230769,4.0,3155357.0,51.99,133.14333333333335,133.8,0.5802011145571386,3,26,39581,0.0,0,188,180.087,48.221199999999996,99.87,4194,132.989,119.709,251.0,249.0,0.0,0.0,24.646,4.0,1.109956003984072,1.1120600311403537,0.0,0.8666666666666667,0.98584,1.009712,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
31,0.0,135055.7,135146.1,20491.35,346500.0,25.1127,0.4828097847988224,0.4768956289027654,4.0,3139091.0,51.99,134.97333333333333,136.43,1.5183653490953097,3,29,44360,0.0,0,218,214.006,49.3237,99.5,4186,135.032,119.826,231.0,229.0,0.0,0.0,23.8891,4.0,1.1280327913352697,1.1273448359145581,0.0,0.9666666666666667,0.955564,1.004508,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
32,0.0,134804.0,135052.1,20077.275,406500.0,25.3547,0.4879553868044609,0.4834037558685446,4.0,3169332.0,51.99,136.15333333333334,137.51,1.2993972961851685,3,26,40400,0.0,0,236,225.19,48.0201,96.83,4192,134.74,120.14,271.0,271.0,0.0,0.0,24.2965,4.0,1.1259305042523913,1.1372006116706028,0.0,0.8666666666666667,0.9718600000000001,1.014188,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
33,0.0,134277.82,134500.7,14273.079999999998,364500.0,24.685100000000002,0.3650284210045114,0.36028000000000004,5.0,3085628.0,67.63,133.95999999999998,134.5,0.7636753236814702,2,28,42912,0.0,0,336,341.476,50.762,102.92,4162,134.383,120.033,243.0,240.0,0.0,0.0,24.4621,5.0,1.1215356635004292,1.1188811188811187,0.0,0.9333333333333333,0.978484,0.9874040000000001,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
34,0.0,131066.56000000001,131477.3,15145.539999999999,346500.0,24.8101,0.3668600893930055,0.3597384615384615,5.0,3101253.0,67.63,130.59,134.25,2.5139212398163915,4,23,34926,0.0,0,286,275.012,48.3207,97.6,4186,131.081,119.992,231.0,229.0,0.0,0.0,23.0234,5.0,1.0947140885391111,1.0907336915100427,0.0,0.7666666666666667,0.920936,0.992404,0,0,0,0,1,0,1,1,0,0,1,1,1,1,onset
35,0.0,132040.71666666667,132187.7,11915.050000000001,300000.0,24.9055,0.31305372212003335,0.3063067292644758,6.0,3113171.0,79.63,131.76333333333332,133.17,1.3325289240137728,3,22,33147,0.0,0,414,402.873,48.4367,101.01,4146,131.996,120.143,200.0,200.0,0.0,0.0,22.8777,6.0,1.1028505882492148,1.1005337849171828,0.0,0.7333333333333333,0.915108,0.99622,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
36,0.0,132447.81666666668,132785.4,2679.983333333333,406500.0,24.5773,0.30822038223896925,0.30154166666666665,6.0,3072171.0,79.63,133.86333333333334,134.89,1.0955059713818487,3,24,36594,0.0,0,404,378.813,46.3549,93.3,4118,132.621,120.27,271.0,269.0,0.0,0.0,25.1748,6.0,1.1062508308850503,1.118073724822008,0.0,0.8,1.006992,0.9830920000000001,0,0,0,0,1,1,0,1,0,0,0,1,0,0,normal
37,0.0,134134.2666666667,134377.2,19543.933333333334,354000.0,25.1496,0.31642089179228144,0.3033503836317135,6.0,3143686.0,79.63,133.54666666666665,134.76,1.8726006871015894,3,27,41903,0.0,0,330,344.909,52.192099999999996,104.86,4160,134.219,119.844,236.0,236.0,0.0,0.0,22.7521,6.0,1.120336655481475,1.115428813249058,0.0,0.9,0.9100839999999999,1.005984,0,0,0,0,1,1,1,1,0,0,1,1,1,1,onset
